商品名,顧客属性,問い合わせ元サイト,大区分NO,大区分名,小区分NO,小区分名,ユーザーの意図(Intent),意図要約(短),対象機能(Target Function),Webサイトのバリア(Barrier),バリア要約(短),Web自己解決可能性,推定発生ページ,発生タイミング,重要キーワード,緊急度,顧客の生の声,商品カテゴリ小カテゴリ
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,希望到着日より早い最速発送を依頼したい,10/3到着希望で最速発送依頼,納期確認,なし,なし,低,不明,注文後,商品到着希望日;10/3;金曜日;急ぎ;最速;発送,高,急ぎ必要としております。;最速での発送お願いできますでしょうか。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,購入した商品のキャンセル可否を確認したい,注文キャンセル可否の確認,キャンセル,なし,なし,中,注文履歴詳細,注文後,購入;キャンセル;可能でしょうか,低,こちらの商品の購入をキャンセルすることは可能でしょうか？,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,インボイス対応の納品書を再発行してほしい,インボイス納品書の再発行依頼,帳票再発行,なし,なし,中,注文履歴詳細,帳票発行時,インボイス対応;納品書;再発行,中,インボイス対応の納品書を再発行いただけないでしょうか。,不明
不明,個人,ストエキ（公式サイト）,4,ご利用について,11,顧客登録情報の変更希望,会員情報登録で建物名が文字数制限により入力できず、登録方法を知りたい,建物名が15文字以上で登録不可,新規会員登録,住所入力フォームの建物名欄に文字数制限があり、長い建物名が入力できない,建物名が文字数制限で入力不可,中,新規会員登録,新規登録時,初めてお買い物;情報登録入力;番地;建物名;15文字以上,低,情報登録入力で番地あとの建物名が15文字以上の為入らなく困っております。方法を教えてください。,不明
不明,不明,不明,6,納期について,4,納期確認（ご注文前）-在庫はいくつあるか,指定日までに購入したい商品の在庫を確認したい,型番商品の在庫数を確認したい,在庫確認,なし,なし,中,商品ページ,注文前,61-819-22-2;幅24×奥行17×高さ0.8cm;45枚;10月10日まで;在庫,高,４５枚を10月10日までに購入したく、在庫のご確認をお願いできますでしょうか。,不明
不明,事務担当,不明,8,帳票について,2,請求書の発行希望（インボイス目的以外）,請求書が未着のため再発行してほしい,請求書未着で再発行依頼,請求書発行,なし,なし,中,不明,帳票発行時,経理部;請求書;届いていない;支払い状況;再発行,中,経理部より請求書が届いていないとの連絡がございました。;支払い状況をご確認いただき請求書の再発行をお願い申し上げます。,不明
プラテック45 特大 手提げレジ袋 白無地 (1)60号 幅41×高さ68[50.5]×横マチ19cm,不明,Amazon,2,ご相談について,2,販促什器について,取引条件を確認して仕入れ販売したい,取引条件と仕入れ可否確認,取引条件確認,なし,なし,中,お問い合わせフォーム,不明,I.trading;プラテック45;特大;手提げレジ袋;白無地;60号;幅41×高さ68[50.5]×横マチ19cm;取引条件;オンライン販売;Amazon;毎月安定した購入,中,御社で取り扱っている プラテック45 特大 手提げレジ袋 白無地 (1)60号 幅41×高さ68[50.5]×横マチ19cm に大変興味があります。;取引にあたっての条件等はございますでしょうか？,無地レジ袋
PP製 紳士トルソー 〔ストエキオリジナル〕/ホワイト,不明,不明,1,商品単品の仕様について,2,陳列ディスプレイ商品について（ハンガー、マネキン、卓上ディスプレイ）,購入済みトルソーの部品（フランジ・支柱・板）を追加購入したい,トルソー部品の追加購入希望,部品購入・追加購入相談,部品単品の購入方法が分からない,補修部品の購入導線が不明,中,商品ページ,注文後,トルソー;PP製;紳士トルソー;ホワイト;61-810-41-1;支柱;フランジ;板;部品購入,中,支柱を差し込むフランジ・支柱・板 この3点を購入することはできますか。,マネキン／トルソー（ボディ）
フロアトルソー用ベースパーツ/スチール製クローム,不明,不明,1,商品単品の仕様について,2,陳列ディスプレイ商品について（ハンガー、マネキン、卓上ディスプレイ）,トルソー対応可否を確認したい,ベースパーツの対応確認,商品仕様確認,なし,なし,中,商品ページ,注文前,フロアトルソー用ベースパーツ;スチール製;クローム;子供腕付き芯地張りトルソー;8005-3414;対応,低,フロアトルソー用ベースパーツ/スチール製クロームは、子供腕付き芯地張りトルソー8005-3414に対応していますか,マネキン／トルソー（ボディ）
不明,事務担当,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,領収書の発行方法を知りたい,領収書の出し方を確認したい,領収書発行,領収書発行手順が分からない,領収書の発行手順が不明,中,注文履歴詳細,帳票発行時,領収書;出し方;分かりません;ご教示ください,低,領収書の出し方が分かりません。 ご教示ください。,不明
白紙袋,不明,不明,3,注文について,5,お客様都合による返品や交換,白紙袋のサイズを誤って注文したため交換したい,袋サイズ誤注文の交換希望,返品・交換,なし,なし,中,不明,注文後,白紙袋;サイズ;縦;横;交換;至急,高,交換したいのですがどうしたら良いのでしょうか?;至急連絡下さい。,紙袋
白紙袋,不明,不明,3,注文について,5,お客様都合による返品や交換,注文済み商品の返品をしたい,注文商品を返品したい,返品,なし,なし,中,注文履歴詳細,注文後,白紙袋;縦型;61-813-82-20;61-431-25-21;返品;カード,中,61-431-25-21 は返品したいです,袋
